step,vehicle_count,speed,co2_emission
265,67,8.4235916344718,2723.3972777563804
266,67,8.695727826788579,2892.2216006156864
267,68,8.703291320758463,2974.0467535077964
268,68,8.815498608949444,2926.5719769783536
269,68,8.7818997110914,2730.1155971118246
270,69,8.81431703014253,3038.6522306004813
271,68,8.721817079004328,3200.0986652410397
272,68,8.553359784500943,2842.4117243290557
273,69,8.256782233976063,2992.1202021536824
274,69,8.032997882796746,2315.748574009107
275,69,7.739393147807376,2682.9676351224703
276,70,7.41973617704443,2770.75294528668
277,69,6.986130074501045,2370.312545873472
278,69,7.125058614998734,3100.470444654938
279,70,7.094371460915723,2741.843802414304
280,70,7.109684499383187,2826.4868404830363
281,70,7.43365309535825,3442.594376750836
282,71,7.419735044862771,2587.8596579248333
283,71,7.309879611329329,2459.8864076129853
284,71,7.247824741332137,2587.0351163390424
285,71,7.358592781918262,2633.2275375482263
286,71,7.679929672035141,3355.752318139551
287,71,8.100977258145273,3279.7857271124417
288,72,8.141792413678322,2887.287168804689
289,72,8.09133663279981,2454.5018132042765
290,72,8.111774843923712,2637.9516465009456
291,71,7.932124521303614,2608.060841106806
292,71,7.718584642868743,2360.0185799816995
293,71,7.5266321735767665,2369.526907974033
294,71,7.3032410016055085,2331.1361842345764
295,71,7.444420363203561,2713.2610736117563
296,70,7.579194468121529,2658.6586325680155
297,69,7.795451307767109,2842.6246547517317
298,69,7.892244366554046,2868.497614316417
299,68,7.870092753599943,2739.033615378956
300,69,7.933859392505167,3066.613513435107
301,69,8.117560126265444,2966.62091837176
302,69,8.259695619520079,3094.457869374443
303,71,7.9883055918825026,2848.390571259284
304,71,7.894231197852531,2345.3772832321347
305,71,7.752174728898501,2211.3379176870862
306,72,7.469103473014368,2189.4096395352794
307,72,7.254236687887418,2397.310234819732
308,72,7.087574969732479,2267.5733471852323
309,71,6.854666101273987,2595.7825478285313
310,71,7.066661779923807,2667.0925344575744
311,71,7.340617076399832,2660.9895811069237
312,72,7.541125419714433,2914.139159805324
313,71,7.489668704731411,2752.5764924345526
314,71,7.608065583641988,3000.1089561478034
315,72,7.393244838803042,2708.4155425089502
316,71,7.04563820572557,2295.1577827459737
317,70,6.734246394400945,2218.4070390921024
318,71,6.618007348288691,2251.7196901770876
319,71,6.378827927478816,1982.884707138602
320,71,5.917677838388833,1889.3556455733208
321,72,5.6942933016121,2067.550916304322
322,72,5.754763840529411,2265.612245892183
323,72,6.003373085108568,2666.9336640196175
324,73,6.200509734469387,2769.1304344648897
325,72,6.807041006954559,3190.340698875637
326,72,7.296847727589829,3314.408365235964
327,72,7.596581687081758,3031.6526145676526
328,70,8.036480841229261,3449.8670644934023
329,70,8.619915069132281,3807.1200148103308
330,71,8.696566597150326,3337.1471980638366
331,71,8.853132744512346,3595.385154065277
332,71,8.899406081162516,3216.712615736215
333,72,8.951399001338794,3470.8639150478116
334,72,9.35734783146733,3553.812497674624
335,72,9.601330557246762,3691.9199778476323
336,72,9.404414472582852,3526.281074831413
337,72,9.358185846727796,3103.40162769295
338,70,9.535303411277058,2782.344895593776
339,71,9.194003752367424,2919.1060649389733
340,70,9.079694993551707,2568.3734948032343
341,68,9.025777342878406,2695.5063185751033
342,68,8.86617082184776,2828.2990496024267
343,68,9.217288693745582,3569.1157416026
344,68,9.5278182523685,3367.6375009967587
345,69,9.666092678267823,3413.3381659462593
346,69,9.813120965843561,3144.9628847206436
347,69,9.780085937040973,2932.359101941148
348,70,9.853745715834435,3420.10079877516
349,70,9.894286465752078,3021.5139158293046
350,70,10.045249906277778,3609.1834118191446
351,71,9.960380896843867,2992.2057910270833
