step,vehicle_count,speed,co2_emission,congestion
0,1,0.0,1521.0,0
1,1,2.0296243834774943,3538.964349935945,0
2,1,3.98405013747979,4087.4594010904448,0
3,2,3.2714762529707517,3775.442628373197,0
4,2,5.029796842799987,4227.069405014533,0
5,2,7.0232282224460505,5362.785631128859,0
6,3,5.864628803753295,4269.9136062995685,0
7,3,6.034843821492562,2712.836087596545,0
8,3,6.422692730205031,3203.1693283318623,0
9,4,4.535002892970457,2467.4720610477384,0
10,4,5.526810526358662,3014.1853929107638,0
11,4,6.375897408319092,2855.741753939716,0
12,5,6.409704266177798,4293.441103660162,0
13,5,7.746103098825175,4832.854144968562,0
14,5,8.518246538463762,5106.718916872573,0
15,6,5.7467891989722375,1189.0396588117044,0
16,6,5.692673514807843,2435.4513792473595,0
17,6,6.9530157176008025,4350.6489278325835,0
18,7,6.6426304398172205,3254.688238668559,0
19,7,7.829886536367963,4061.485074021013,0
20,7,8.164853361285177,3383.8490688680067,0
21,8,7.587093329612762,4174.773372461796,0
22,8,8.706734083754784,4313.711860101957,0
23,8,10.021441742567188,5275.848211829468,0
24,9,9.614479011775371,4036.4849141827854,0
25,9,9.942654663512899,4099.602687137074,0
26,9,10.455710090302793,4178.083927595606,0
27,10,9.387217868182791,4198.388259073378,0
28,10,10.113513310552396,4732.453762704293,0
29,10,10.802530917428893,4320.270876834973,0
30,11,10.47986705725804,4425.16569883078,0
31,11,11.294057914959353,3145.0487815565957,0
32,11,11.38769306314839,3272.087917277453,0
33,12,10.1711329752462,2544.122473936249,0
34,12,11.116392968413571,4406.0625257094625,0
35,12,11.181414735564273,3390.9011939786383,0
36,13,10.571216285247289,3844.767026798688,0
37,13,10.996837770710677,4413.091937405221,0
38,13,10.682001247124154,2494.8886894786997,0
39,14,9.201717322376792,1994.2582474529008,0
40,14,8.390796009701564,2238.9806871510505,0
41,14,8.063610785480718,2394.203143340971,0
42,15,7.515730057530792,2756.9254982665093,0
43,15,7.939623991433885,3684.567792718583,0
44,15,8.740538200261629,3969.189472067169,0
45,16,8.542547555715212,3049.011027812291,0
46,16,9.06979214716075,3302.497601901125,0
47,16,9.332543168965913,2714.249476614138,0
48,17,9.051176650542025,2915.331891160278,0
49,17,9.04083391841614,2864.9828773940476,0
50,17,8.434860692003252,2369.9309591552164,0
51,18,7.668391361966071,2413.9844481649216,0
52,18,7.925994992876563,3239.610640750272,0
53,18,7.881798629648746,2642.5243790601307,0
54,19,7.607350284211438,3201.513750945892,0
55,19,7.843080616680401,3473.1702477769836,0
56,19,7.521086298306869,2692.747572834246,0
57,20,6.8263429603339745,2236.721688535646,0
58,20,6.9878660431551625,3290.086891428574,0
59,20,7.033428268183587,2946.2060493313156,0
60,21,6.700151951269798,2814.128265462858,0
61,21,7.030611790019251,3291.9038014297134,0
62,21,7.493802994009469,3590.4005154168126,0
63,22,7.511030033796616,3555.0953450280144,0
64,22,7.665015857315914,3297.8418938381933,0
65,22,8.218005638870464,4293.64225108999,0
66,23,8.354460767766984,3399.386974301981,0
67,23,8.811297933513938,3279.4910602487826,0
68,23,8.782083475181329,3036.988626668466,0
69,24,8.602907654216017,3301.2439219296866,0
70,24,8.904500211727196,3295.031821502378,0
71,24,9.401496747616513,4147.340880577339,0
72,24,9.687098987501138,4056.94652061534,0
73,24,9.87529460571168,3502.123094694869,0
74,24,10.032247553537667,3607.3234692162982,0
75,25,9.628157938930928,3546.4477094182103,0
76,25,9.470839113909653,3463.318434614206,0
77,25,9.329915107281995,3357.783281841001,0
78,26,8.66142315526696,2767.2292402873886,0
79,26,8.215738975675816,2413.1906316654304,0
80,26,7.964340294027453,2379.851938445078,0
81,27,8.075601394159328,3406.9962493698554,0
82,27,8.621582499928838,3754.603651068117,0
83,27,8.869150049943686,3294.536388435039,0
84,28,9.068979944408763,3820.1676551589844,0
85,28,8.989237489477953,3329.7229603038454,0
86,28,8.823944202743519,3297.17208725457,0
87,29,8.749461261993249,3385.430866991545,0
88,29,9.67287953890869,4530.460528070738,0
89,28,10.096018942526495,4768.762734837724,0
90,29,10.45633271577424,4289.3883008782,0
91,29,11.408596890428258,5183.072365261679,0
92,29,11.959416725913362,5446.4887225186385,0
93,30,11.764771326993632,4076.484194888898,0
94,30,12.157545182478371,4472.6396340360525,0
95,30,12.50020705487792,3926.3945074196063,0
96,31,12.53435075019436,4009.9024532623766,0
97,31,12.61326551906393,3442.05046014203,0
98,31,12.692044904774372,3965.775905272253,0
99,32,12.352848542453797,4160.497386309168,0
100,32,12.580000521941216,4087.83291281489,0
101,31,12.711404678887071,5025.75882325839,0
102,32,12.939911237074648,4913.325432761945,0
103,32,13.136031539735308,3941.9404688697737,0
104,32,13.145988533628266,4343.079612582727,0
105,33,12.733810869378352,3243.229598023515,0
106,33,12.680466822314596,3323.293929922645,0
107,33,12.5633152311005,3390.7406561113107,0
108,34,11.700115478216238,3072.1252108822423,0
109,34,11.095387661730317,2575.8950220547313,0
110,34,10.605969867838663,2409.4956725249594,0
111,35,9.810635213226659,2706.7865553400406,0
112,35,9.371634388374844,2515.7125905127614,0
113,35,8.78677680126865,2082.764301886862,0
114,36,8.386573841045974,2687.525083866217,0
115,36,8.363779544246485,2896.678058327468,0
116,36,8.664631806397642,3734.735851238138,0
117,37,8.534263129643891,2832.536120045761,0
118,37,8.500934333436385,2775.9787050907053,0
119,37,8.377329570477503,2656.33743938475,0
120,38,8.527098982459208,3332.9840694040663,0
121,37,8.737282023422027,3699.44945446436,0
122,37,9.283248719518976,3483.2944094974605,0
123,38,9.580727011688674,3523.4780201453655,0
124,38,10.023355763536685,3839.7811819257754,0
125,38,10.176785109686149,3077.6990123479663,0
126,39,9.680017167675773,2205.148471666938,0
127,39,9.429588533448854,3042.1003142230284,0
128,39,9.412977655493945,2827.183002006565,0
129,40,9.389969151456379,3076.1363579079466,0
130,40,9.650519009081869,3215.4664996014635,0
131,40,9.9673666805578,3439.1253015883194,0
132,41,9.768299294610904,2978.284069130859,0
133,41,9.436691051268875,3055.5251331552613,0
134,41,9.204954316049992,2656.4029004436893,0
135,42,9.017295510263121,2748.3562202915805,0
136,42,8.912003621504661,2646.745505712059,0
137,42,9.17914141406933,2594.25073956708,0
138,43,9.489473719386375,3314.5076860226113,0
139,42,9.964265362204824,3549.935017080331,0
140,42,10.20220593612048,3259.8974496188935,0
141,43,10.121954820426463,3114.819445150241,0
142,43,10.42802497202956,3246.0906285493334,0
143,43,10.79985995657455,3104.222766068165,0
144,44,10.959315828389357,3919.9121334724146,0
145,44,11.355862366921906,3490.5279047112012,0
146,44,11.845557309794897,3819.7701553281704,0
147,45,11.605775273919281,3162.138132887621,0
148,45,11.660607350844536,3572.3909987162256,0
149,45,11.930352402522827,3713.0029277765407,0
150,46,11.352430461571297,3272.6760381497793,0
151,45,11.031757438265991,3300.4034013759074,0
152,45,10.898530858026012,3110.811680450147,0
153,46,10.394667418425337,3267.511504475351,0
154,46,10.046184132305859,2619.487753667868,0
155,46,10.03357863201934,3080.761664011114,0
156,46,9.481065841503701,2628.154020375324,0
157,46,9.33978928101557,2189.5304829447696,0
158,46,9.098641931822332,2286.3338668709607,0
159,47,8.93881277543041,2813.6507114299798,0
160,47,8.796352080358487,2726.103786134459,0
161,47,8.986436250068444,3220.586438669931,0
162,48,8.975953797319482,3114.1415017968625,0
163,47,9.09390323665714,3101.7432053837697,0
164,47,9.277849403723437,3539.4999229966575,0
165,48,9.325291762413666,3102.1478945783815,0
166,48,9.214187769485799,2419.9802223385827,0
167,48,8.933291875107933,2407.232447578286,0
168,49,8.872711330096257,3183.1371406645085,0
169,48,8.606587332145635,2388.450389547575,0
170,48,8.581992744963706,2632.638295366725,0
171,49,8.318929927880127,2329.886789114731,0
172,49,8.30519000017795,2765.995622391195,0
173,49,8.431920016418545,2552.0751599146083,0
174,50,8.192265901887133,2644.7374250702783,0
175,50,8.694666750480998,3502.067534410536,0
176,50,8.88606560972353,2877.463259569102,0
177,51,8.811877737733026,3013.250474207986,0
178,51,8.719563284285952,2710.0452222703098,0
179,51,8.739114953758778,2880.1112215471626,0
180,52,8.72359943883308,2795.4728939247357,0
181,52,8.876188605982401,2636.084609183551,0
182,52,8.89549429870709,2302.6973330650662,0
183,53,8.444313142864734,2185.075376004613,0
184,53,8.338356066097534,2581.3530001125164,0
185,53,8.216941034570556,2577.9107210318502,0
186,53,7.953629310717682,2952.3112617138854,0
187,53,8.182825395498613,3072.355725591803,0
188,53,8.725688133314573,3684.8023421219464,0
189,54,8.79677140986611,3159.702365003826,0
190,54,8.970484053245043,2876.6320990554386,0
191,54,9.116510625363787,2829.3651228372505,0
192,55,8.956689377484658,2822.9957764575806,0
193,55,9.07408505491543,3182.9866644572526,0
194,55,9.005168979655906,2902.3558313672706,0
195,56,8.983163823880087,3278.6544314334556,0
196,56,8.917902511511885,2808.368135947913,0
197,56,8.739897570839977,2560.957292016109,0
198,57,8.687647563397533,3053.738167561615,0
199,56,8.506550243686961,2469.9840086917893,0
200,56,8.398906978783211,2761.3637288482832,0
201,57,8.456630574803468,2982.769349548477,0
202,57,8.440656639584914,2741.043942390822,0
203,57,8.524171832839992,2950.2928220874705,0
204,58,8.334862964534032,2589.662141120313,0
205,57,8.12305742257916,2821.469603772372,0
206,56,7.856368912367663,2724.9081488156735,0
207,57,7.846360377853465,3183.084507301023,0
208,57,8.090848497709745,3046.4324173090085,0
209,57,8.351152032532372,3166.7959115986687,0
210,57,8.151541056084053,2883.4351247197424,0
211,57,8.425905748859254,3437.5097579064927,0
212,57,8.68125807964352,2890.9685786719333,0
213,58,8.730276521751918,2989.5326281654266,0
214,58,8.79756043960958,3348.7678246865826,0
215,58,8.810845344116174,3392.6497895856796,0
216,59,8.974004626565991,3911.48116480538,0
