step,vehicle_count,avg_speed,co2_emission,congestion
0,1,0.0,1521.0,0
1,1,2.0296243834774943,3538.964349935945,0
2,2,1.992025068739895,2804.2297005452224,0
3,3,2.777434615418315,3596.0518817201214,0
4,3,4.682152148297368,4257.37384395797,0
5,4,4.7815886272175705,3749.94301141509,0
6,5,5.356085879798047,4282.640282535247,0
7,5,5.782844398401118,2639.029269487938,0
8,6,4.613396993927425,2473.9835037491907,0
9,7,5.379215764788905,3934.6260538838646,0
10,7,6.403522500483248,3667.8991711848207,0
11,8,5.46766397386262,2674.6810365965384,0
12,9,6.31052622862376,4658.421074110816,0
13,9,7.746829141297182,4833.060265566105,0
14,10,7.699504531838345,4142.031606545423,0
15,11,6.795986874432331,2771.5692352850947,0
16,11,7.300035641333648,4226.536111979987,0
17,12,7.762000893648268,3962.3601100363376,0
18,13,7.839174777417492,3216.6770770847206,0
19,13,8.778245499394092,3733.4039983557236,0
20,14,8.624763347691617,3321.799807260912,0
21,15,9.014022265321051,4112.1119795214345,0
22,15,9.270978112335007,2997.7758149548927,0
23,16,8.760637270308177,2969.225518542031,0
24,17,8.973506800323259,4130.788907650977,0
25,17,9.434921492811162,3440.3854791031517,0
26,18,8.820362042072057,3645.2323676013734,0
27,19,8.305245178191845,3103.7592319187693,0
28,19,8.972291584168792,4562.838116653373,0
29,20,8.632109697276231,3505.1995796327465,0
30,21,8.404984027114086,3012.911384286125,0
31,21,8.860873874966652,3238.2809751161453,0
32,22,8.788562870381684,3523.1857590144805,0
33,23,8.788196736964098,3174.9821632782814,0
34,23,8.656829367936307,2274.400125746882,0
35,24,7.732667979870503,2340.8690748915647,0
36,25,6.919428826932344,2146.2750147824318,0
37,25,6.653643762211436,2261.0787311991644,0
38,26,6.897223143930389,3466.977955058171,0
39,26,7.212960829765327,3804.4233263543574,0
40,26,7.396483707412822,3101.329017386454,0
41,27,7.067215995579092,2941.1031080831244,0
42,28,6.618267762586924,3038.1524573675565,0
43,28,6.8087593533828175,3211.2506882421326,0
44,29,6.711328355459308,3000.8676367313074,0
45,30,7.043392617765122,3625.2171047563857,0
46,30,7.715554189648017,3485.58628252437,0
47,31,7.816843370628277,3640.563812572456,0
48,32,7.877824849194102,3456.2252511675906,0
49,32,8.497358887501989,4258.051495983306,0
50,33,8.472893949621621,3885.6256259104834,0
51,34,8.251514460466169,3505.344308721454,0
52,34,8.834175626656375,3939.026656949001,0
53,35,9.490312517999532,4674.9068242165495,0
54,36,9.655598001938877,3775.6445933324826,0
55,36,9.642823468059198,3518.8720258343124,0
56,37,9.02416389192871,3056.6513229287466,0
57,38,8.638169125913251,3205.68175170833,0
58,38,8.296975635575885,3332.3173270219877,0
59,39,8.274304764186017,3299.525616747295,0
60,40,8.356150684699173,3126.91483223093,0
61,40,8.743246497894592,3795.6036770499004,0
62,41,8.931437569605315,4164.276962325361,0
63,42,8.823738987477643,3292.0512668607894,0
64,41,9.084239326024235,4188.377692220146,0
65,42,9.065858677879037,4033.6108024211203,0
66,43,9.364500483985507,4001.2526248053455,0
67,43,9.897598800167707,4203.8432068633065,0
68,44,9.820827776870308,3774.2927435584284,0
69,45,9.993135395137612,4147.329869828889,0
70,45,10.132729260722867,3426.7691086285645,0
71,46,10.287645734196676,3638.0212177733647,0
72,47,10.043668773277899,3216.91927006701,0
73,47,9.828155054060067,2851.749240990642,0
74,48,9.865549504816448,3324.947329531842,0
75,49,10.144951699219407,3741.370827323346,0
76,49,10.641650986074394,3533.087404469572,0
77,50,10.52717551725741,2989.732982929165,0
78,51,10.133394626673791,2472.6569333329085,0
79,51,10.358102413052706,3483.703017517445,0
80,52,10.337012163140269,2998.537620471371,0
81,53,10.313528168861277,2995.8741264246987,0
82,53,10.351679028317914,2952.9054107314837,0
83,54,10.249288784891148,2876.3256464015144,0
84,55,10.189462134505725,3114.0600411452797,0
85,55,10.246226063463133,3134.3539424564005,0
86,56,10.394546383344139,3429.2803662204574,0
87,56,10.02847039833913,2903.960742203896,0
88,56,10.058004127528287,3035.029042918861,0
89,57,9.89413295748502,2927.315953261255,0
90,58,9.558929071964144,2244.4803560566634,0
91,58,9.279675713298525,2343.0752409921943,0
92,59,9.040815746182602,2252.7353686845554,0
93,60,8.901588896673823,2773.3113347140966,0
94,60,8.84507637085241,2566.925309548512,0
95,61,8.648879702732373,2902.659003246312,0
96,62,8.395648387824291,2372.2415358309495,0
97,62,8.107305491716769,2209.1113405537862,0
98,63,7.7320924327524825,2367.714095471122,0
99,64,7.569371751928266,2609.2566478984622,0
100,64,7.852926045188567,3146.3059247502956,0
101,65,7.977403408070729,2983.3791528163442,0
102,66,7.906634476608582,2997.4887270702047,0
103,66,7.856737364656037,2706.307962364982,0
104,67,7.691704813837722,2485.1220827603975,0
105,68,7.583965314098614,2784.6391491555946,0
106,68,7.66089049017678,2686.7499839168145,0
107,69,7.466876814686628,2489.385505082225,0
108,70,7.576185311903532,2873.840488675119,0
109,70,7.82119121091761,2873.570998444538,0
110,71,7.861176300960577,2819.3764132763336,0
111,72,7.775923528846369,2614.6168040697357,0
112,72,8.039882230275472,2970.135699105027,0
113,73,8.19418618304024,2880.6984612972415,0
114,74,8.420733434126122,3120.381020855716,0
115,74,8.434111313062056,2828.9478611367117,0
116,74,8.130926988630875,2750.4285895200082,0
117,75,8.147795515459508,3066.694740457181,0
118,75,8.379169253690346,3104.566934010509,0
119,74,8.440523077215918,2560.7137897085054,0
120,75,8.570828895213193,3134.8668463311515,0
121,75,8.656820387689391,2664.355813724183,0
122,76,8.656200783927297,2973.9347390664225,0
123,77,8.380691429992538,2446.3125200228965,0
124,77,8.304845930482344,2756.327546144533,0
125,78,8.000381863082183,2526.594847390232,0
126,79,7.749625735091873,2146.8983276157137,0
127,79,7.719335718944194,2736.1330821331117,0
128,80,7.636070925519711,2940.505033942643,0
129,80,7.566343599434086,2655.012882071963,0
130,80,7.459927159464113,2856.6855874807598,0
131,81,7.218893922293831,2308.9599943730323,0
132,83,7.089459010059389,2744.481510968138,0
133,83,6.909826593274062,2042.224699305521,0
134,84,6.926570152608559,2603.362174583506,0
135,85,6.948415011391699,2725.227572986783,0
136,84,6.590320435489163,2233.8152509073734,0
137,85,6.648382559297853,2957.7173495688025,0
138,86,6.72961347019109,2808.9189705146446,0
139,86,6.6799353455782615,2811.892018195819,0
140,87,6.482184563333326,2642.7912795165003,0
141,88,6.379060158989955,2755.80250728781,0
142,87,6.305424495242782,2293.1173737155527,0
143,88,6.552821611106801,2613.166085007869,0
144,88,6.658135183377973,2803.0432041154227,0
145,88,6.7552492214868645,2574.731460738367,0
146,89,6.7500253469753835,2412.102656917954,0
147,90,6.960445969571335,2916.0717504314575,0
148,90,7.075525144831056,2858.764575167959,0
149,91,6.9855089092736495,2631.5953314774006,0
150,92,6.6287876711144555,2324.2669643233235,0
151,92,6.662709224036869,2455.784095246834,0
152,93,6.577756049250407,2477.642564906983,0
153,94,6.376233030491023,2337.7169240782923,0
154,94,6.224306906423462,2503.3880559213076,0
155,95,6.117823776403047,2673.8378117490556,0
156,96,6.0158464433103065,2413.420710764014,0
157,96,6.174617801774091,2696.500006628045,0
158,97,6.180564118901727,2618.4843906876276,0
159,98,6.114375022746466,2340.6406086859665,0
160,98,5.8625790333704915,2160.714490926772,0
161,99,5.7540266326809,2150.679634454692,0
162,100,5.817941606453746,2636.352753176131,0
163,100,5.890301147708323,2650.2745981342964,0
164,101,5.977707009248528,2615.1816966335773,0
165,102,5.997453492368688,2617.470391075366,0
166,101,5.883828333336037,2370.655896041967,0
167,102,5.636479105374652,2111.0542370431067,0
168,103,5.433893893224726,2326.0441327336875,0
169,103,5.359502479840326,2251.885952075027,0
170,104,5.352977847844335,2514.467959444683,0
171,105,5.361770077825173,2378.914175928055,0
172,105,5.505937859128263,2690.9848045166777,0
173,106,5.548644436253533,2436.4284696987934,0
174,107,5.350831482389103,1894.0002962219103,0
175,107,5.343335472441669,2154.2640242586003,0
176,107,5.080971643569288,1950.4432881891923,0
177,108,5.051900868260495,2196.221149679457,0
178,108,5.0600899412930325,2087.2474700163507,0
179,109,5.083646595849306,2402.73307277349,0
180,110,5.083256810906566,2296.386028120652,0
181,110,5.203698922854692,2537.4274224413607,0
182,111,5.1322623057401175,2535.9539066030825,0
183,112,5.224315277301531,2539.2145022735926,0
184,112,5.326375060352414,2412.5451638603618,0
185,113,5.282587125248787,2410.4653382600063,0
186,114,5.198414394049748,2269.6287389515396,0
187,112,5.040873914827091,2242.1985645472664,0
188,113,5.099700181815032,2427.816819360671,0
189,114,4.880214133411861,2083.3928435499306,0
190,113,4.747694137087334,2077.2682989486234,0
191,114,4.610713893358462,2107.949501673909,0
192,115,4.615170340270154,2303.7723561247167,0
193,115,4.671809889184581,2280.863043455953,0
194,116,4.747923349231387,2313.339355850358,0
195,117,4.723004274665405,2041.5712940226574,0
196,117,4.863356788665001,2290.4255661784673,0
197,118,4.968285799892227,2565.356019195892,0
198,119,4.91492759149239,2160.255672213647,0
199,119,5.011397306528866,2344.8887351991493,0
200,119,4.79548897154811,2113.5251626235613,0
201,120,4.737764021336799,2272.682507352591,0
202,120,4.595753430759032,2095.5385928254814,0
203,121,4.691148205216072,2452.212796007497,0
204,122,4.7766847324706925,2445.6279143979414,0
205,122,4.898299125891794,2447.0221429094104,0
206,123,5.021139498979355,2451.5090188240733,0
207,124,5.062000203724075,2330.412591498906,0
208,124,5.079436609242455,2073.44432380776,0
209,125,5.05152358088412,2323.338374871904,0
210,126,5.1319369411762805,2369.6164372778626,0
211,126,5.069200613572556,2289.721049288094,0
212,126,4.8381103445039875,2229.810241732709,0
213,127,4.804720733332473,2196.234278730643,0
214,127,4.929339057086708,2381.6935833817415,0
215,128,4.837020383414115,2131.684242611429,0
